Date,Campaign,ROAS,Sales,Spend
1/1/21,BRANDED,28,"1,192","7,742"
1/1/21,LOCAL,3,27,"1,472"
1/1/21,RLSA/DSA,13,29,339
1/1/21,SHOPPING/PERFORMANCE MAX,19,251,"1,462"
2/1/21,BRANDED,23,905,"6,560"
2/1/21,LOCAL,3,22,"1,312"
2/1/21,RLSA/DSA,54,114,328
2/1/21,SHOPPING/PERFORMANCE MAX,19,278,"1,421"
3/1/21,BRANDED,43,926,"3,173"
3/1/21,LOCAL,5,26,944
3/1/21,RLSA/DSA,46,267,736
3/1/21,SHOPPING/PERFORMANCE MAX,22,218,"1,041"
4/1/21,BRANDED,39,"1,256","4,452"
4/1/21,LOCAL,2,27,"1,520"
4/1/21,RLSA/DSA,45,130,425
4/1/21,SHOPPING/PERFORMANCE MAX,18,282,"1,599"
5/1/21,BRANDED,15,"1,593","14,392"
5/1/21,LOCAL,1,14,"1,211"
5/1/21,RLSA/DSA,19,119,853
5/1/21,SHOPPING/PERFORMANCE MAX,13,430,"3,937"
6/1/21,BRANDED,15,"1,463","12,902"
6/1/21,LOCAL,3,34,"1,628"
6/1/21,RLSA/DSA,14,234,"1,973"
6/1/21,SHOPPING/PERFORMANCE MAX,10,302,"3,169"
7/1/21,BRANDED,16,"1,972","15,776"
7/1/21,LOCAL,3,52,"2,330"
7/1/21,RLSA/DSA,7,166,"2,546"
7/1/21,SHOPPING/PERFORMANCE MAX,13,533,"4,652"
8/1/21,BRANDED,19,"4,465","19,125"
8/1/21,LOCAL,4,165,"3,089"
8/1/21,RLSA/DSA,7,434,"4,242"
8/1/21,SHOPPING/PERFORMANCE MAX,19,"1,449","6,329"
9/1/21,BRANDED,17,"2,534","12,764"
9/1/21,LOCAL,7,88,"1,368"
9/1/21,RLSA/DSA,8,214,"1,887"
9/1/21,SHOPPING/PERFORMANCE MAX,13,645,"4,481"
10/1/21,BRANDED,27,"4,507","13,625"
10/1/21,LOCAL,4,158,"3,618"
10/1/21,RLSA/DSA,15,347,"1,829"
10/1/21,SHOPPING/PERFORMANCE MAX,10,"1,187","10,434"
11/1/21,BRANDED,12,"7,193","63,430"
11/1/21,LOCAL,5,306,"7,603"
11/1/21,RLSA/DSA,7,434,"5,670"
11/1/21,SHOPPING/PERFORMANCE MAX,9,"2,000","22,414"
12/1/21,BRANDED,16,"6,629","44,106"
12/1/21,LOCAL,3,346,"10,061"
12/1/21,RLSA/DSA,7,322,"4,101"
12/1/21,SHOPPING/PERFORMANCE MAX,10,"2,427","27,358"
1/1/22,BRANDED,29,"4,000","13,456"
1/1/22,LOCAL,7,201,"2,338"
1/1/22,RLSA/DSA,13,267,"1,666"
1/1/22,SHOPPING/PERFORMANCE MAX,22,"1,300","6,442"
2/1/22,BRANDED,20,"3,178","13,182"
2/1/22,LOCAL,6,108,"2,234"
2/1/22,RLSA/DSA,9,283,"1,631"
2/1/22,SHOPPING/PERFORMANCE MAX,15,"1,184","7,302"
3/1/22,BRANDED,23,"2,855","9,504"
3/1/22,LOCAL,3,40,"1,102"
3/1/22,RLSA/DSA,9,346,"1,262"
3/1/22,SHOPPING/PERFORMANCE MAX,11,"1,177","9,498"
4/1/22,BRANDED,21,"3,268","12,751"
4/1/22,LOCAL,5,73,"1,516"
4/1/22,RLSA/DSA,16,570,"1,692"
4/1/22,SHOPPING/PERFORMANCE MAX,10,"1,553","12,573"
5/1/22,BRANDED,12,"3,676","23,623"
5/1/22,LOCAL,2,73,"2,693"
5/1/22,RLSA/DSA,7,518,"2,977"
5/1/22,SHOPPING/PERFORMANCE MAX,7,"1,567","17,568"
6/1/22,BRANDED,15,"3,423","19,023"
6/1/22,LOCAL,3,92,"2,692"
6/1/22,RLSA/DSA,6,404,"2,955"
6/1/22,SHOPPING/PERFORMANCE MAX,7,"1,623","17,921"
7/1/22,BRANDED,17,"5,477","24,805"
7/1/22,LOCAL,2,143,"6,945"
7/1/22,RLSA/DSA,7,681,"3,616"
7/1/22,SHOPPING/PERFORMANCE MAX,9,"2,634","22,993"
8/1/22,BRANDED,13,"6,209","35,812"
8/1/22,LOCAL,2,217,"13,523"
8/1/22,RLSA/DSA,6,623,"3,499"
8/1/22,SHOPPING/PERFORMANCE MAX,7,"3,700","44,398"
9/1/22,BRANDED,8,"1,933","22,725"
9/1/22,LOCAL,1,71,"4,295"
9/1/22,RLSA/DSA,4,272,"3,148"
9/1/22,SHOPPING/PERFORMANCE MAX,5,"1,165","20,666"
